treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
new treasuretable "EMLUTE_Chest_Content_Varnishes"
new subtable "1,1"
object category "I_EMBERS_LUTE_BOOK_INFO_VARNISHES",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_EMBERS_LUTE_CONVERSION_POTION_SPRITESMODE",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_EMBERS_LUTE_CONVERSION_POTION_GNOMEMODE_BONES",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_EMBERS_LUTE_CONVERSION_POTION_GNOMEMODE",1,0,0,0,0,0,0,0
new treasuretable "EMLUTE_Chest_Content_Misc"
new subtable "1,1"
object category "I_EMBERS_LUTE_PANTS_OF_PERFORMANCE",1,0,0,0,0,0,0,0
new treasuretable "EMLUTE_Chest_Content_Starter"
new subtable "-1"
object category "I_EMBERS_LUTE_THANKYOU_NOTE_V3",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_EMBERS_LUTE_BOOK_FAQ",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_EMBERS_LUTE_BOOK_CHANGELOG_V3",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_EMBERS_LUTE_BOOK_VERSION",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_EMBERS_LUTE_SUMMON_CHEST_SCROLL",1,0,0,0,0,0,0,0
new treasuretable "EMLUTE_Chest_Content"
new subtable "-1"
object category "I_ARI_CONT_EMBERSLUTE_MUSICALSPRITES",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_ARI_CONT_EMBERSLUTE_ENSEMBLES",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_ARI_CONT_EMBERSLUTE_ANNOYING",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_ARI_CONT_EMBERSLUTE_VARNISHES",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_ARI_CONT_EMBERSLUTE_MISC",1,0,0,0,0,0,0,0
new treasuretable "DEN_Entrance_Trade"
CanMerge 1
new subtable "1,1"
object category "I_ARI_CONT_EMBERSLUTE",1,0,0,0,0,0,0,0
new treasuretable "TUT_Chest_Potions"
CanMerge 1
new subtable "1,1"
object category "I_ARI_CONT_EMBERSLUTE",1,0,0,0,0,0,0,0
new treasuretable "HAV_HarperQuarterMaster_Magic_Trade"
CanMerge 1
new subtable "1,1"
object category "I_ARI_CONT_EMBERSLUTE",1,0,0,0,0,0,0,0
new treasuretable "LOW_MusicTrader"
CanMerge 1
new subtable "1,1"
object category "I_ARI_CONT_EMBERSLUTE",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_EMBERS_LUTE_SHEETMUSIC_HARPYSONG",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_EMBERS_LUTE_SHEETMUSIC_ENDLESSSPRING",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_EMBERS_LUTE_SHEETMUSIC_THEPOWER",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_EMBERS_LUTE_SHEETMUSIC_WEEPINGDAWN",1,0,0,0,0,0,0,0
new treasuretable "DEN_Harpy_Nest"
CanMerge 1
new subtable "1,1"
object category "I_EMBERS_LUTE_SHEETMUSIC_HARPYSONG",1,0,0,0,0,0,0,0
new treasuretable "DEN_BardChest"
CanMerge 1
new subtable "1,1"
object category "I_EMBERS_LUTE_SHEETMUSIC_WEEPINGDAWN",1,0,0,0,0,0,0,0
new treasuretable "MOO_MimicReward"
CanMerge 1
new subtable "1,1"
object category "I_EMBERS_LUTE_SHEETMUSIC_ENDLESSSPRING",1,0,0,0,0,0,0,0
new treasuretable "LOW_WQH_AllandraChest"
CanMerge 1
new subtable "1,1"
object category "I_EMBERS_LUTE_SHEETMUSIC_WATERHYMN",1,0,0,0,0,0,0,0
new treasuretable "HAG_AbandonedCamp_Backpack_Bard"
CanMerge 1
new subtable "1,1"
object category "I_EMBERS_LUTE_SHEETMUSIC_THEPOWER",1,0,0,0,0,0,0,0
new treasuretable "LOW_Legendary_HoH_Treasure"
CanMerge 1
new subtable "1,1"
object category "I_EMBERS_LUTE_SHEETMUSIC_FINALACT",1,0,0,0,0,0,0,0
new treasuretable "EMLUTE_Chest_Content_Spoilers"
new subtable "1,1"
object category "I_EMBERS_LUTE_SHEETMUSIC_HARPYSONG",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_EMBERS_LUTE_SHEETMUSIC_ENDLESSSPRING",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_EMBERS_LUTE_SHEETMUSIC_THEPOWER",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_EMBERS_LUTE_SHEETMUSIC_WEEPINGDAWN",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_EMBERS_LUTE_SHEETMUSIC_WATERHYMN",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_EMBERS_LUTE_SHEETMUSIC_FINALACT",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_EMBERS_LUTE_REWARD_SPIN_SLIPPERS",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_EMBERS_LUTE_REWARD_BARD_SHOES",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_EMBERS_LUTE_REWARD_UNKNOWN_UNDERWEAR",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_EMBERS_LUTE_REWARD_GRIMJIG_UNDERWEAR",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_EMBERS_LUTE_REWARD_CRITICAL_MOCKERY_RING",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_EMBERS_LUTE_REWARD_DEXTEROUS_JUMP_RING",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_EMBERS_LUTE_REWARD_PARRY_GLOVES",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_EMBERS_LUTE_REWARD_SWIFT_WINGS_RING",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_EMBERS_LUTE_REWARD_CHARISMATIC_STING",1,0,0,0,0,0,0,0
new treasuretable "EMLUTE_Chest_Content_Flat"
new subtable "-1"
object category "T_EMLUTE_Chest_Content_Starter",1,0,0,0,0,0,0,0
new subtable "-1"
object category "T_EMLUTE_Chest_Content_MusicalSprites",1,0,0,0,0,0,0,0
new subtable "-1"
object category "T_EMLUTE_Chest_Content_Ensembles",1,0,0,0,0,0,0,0
new subtable "-1"
object category "T_EMLUTE_Chest_Content_Annoying",1,0,0,0,0,0,0,0
new subtable "-1"
object category "T_EMLUTE_Chest_Content_Varnishes",1,0,0,0,0,0,0,0
new subtable "-1"
object category "T_EMLUTE_Chest_Content_Misc",1,0,0,0,0,0,0,0
